,taxon_id,treatment_1,treatment_2,wilcox_p_value
1,ab,apo_control,apo_heat,NA
1830,kw,sym_control,sym_heat,2.42E-02
691,cb,apo_control,sym_heat,4.60E-02
997,bl,apo_heat,sym_control,4.60E-02
1054,dv,apo_heat,sym_control,4.60E-02
1105,gc,apo_heat,sym_control,4.60E-02
1188,kw,apo_heat,sym_control,4.60E-02
1198,lj,apo_heat,sym_control,4.60E-02
1639,bl,sym_control,sym_heat,4.60E-02
1657,cf,sym_control,sym_heat,4.60E-02
1664,cn,sym_control,sym_heat,4.60E-02
1696,dv,sym_control,sym_heat,4.60E-02
1654,cb,sym_control,sym_heat,4.81E-02
1709,el,sym_control,sym_heat,4.81E-02
1749,ge,sym_control,sym_heat,4.81E-02
1806,ji,sym_control,sym_heat,4.81E-02
1843,lm,sym_control,sym_heat,4.81E-02
41,bt,apo_control,apo_heat,4.87E-02
49,cb,apo_control,apo_heat,4.87E-02
59,cn,apo_control,apo_heat,4.87E-02
104,el,apo_control,apo_heat,4.87E-02
122,fh,apo_control,apo_heat,4.87E-02
123,fi,apo_control,apo_heat,4.87E-02
129,fp,apo_control,apo_heat,4.87E-02
201,ji,apo_control,apo_heat,4.87E-02
214,kg,apo_control,apo_heat,4.87E-02
225,kw,apo_control,apo_heat,4.87E-02
244,lz,apo_control,apo_heat,4.87E-02
327,ag,apo_control,sym_control,4.87E-02
341,av,apo_control,sym_control,4.87E-02
355,bl,apo_control,sym_control,4.87E-02
365,bw,apo_control,sym_control,4.87E-02
412,dv,apo_control,sym_control,4.87E-02
415,dy,apo_control,sym_control,4.87E-02
504,ie,apo_control,sym_control,4.87E-02
603,oa,apo_control,sym_control,4.87E-02
644,ac,apo_control,sym_heat,4.87E-02
676,bl,apo_control,sym_heat,4.87E-02
683,bt,apo_control,sym_heat,4.87E-02
701,cn,apo_control,sym_heat,4.87E-02
733,dv,apo_control,sym_heat,4.87E-02
736,dy,apo_control,sym_heat,4.87E-02
746,el,apo_control,sym_heat,4.87E-02
770,fo,apo_control,sym_heat,4.87E-02
787,gf,apo_control,sym_heat,4.87E-02
843,ji,apo_control,sym_heat,4.87E-02
861,ko,apo_control,sym_heat,4.87E-02
867,kw,apo_control,sym_heat,4.87E-02
924,oa,apo_control,sym_heat,4.87E-02
1004,bt,apo_heat,sym_control,4.87E-02
1012,cb,apo_heat,sym_control,4.87E-02
1015,cf,apo_heat,sym_control,4.87E-02
1022,cn,apo_heat,sym_control,4.87E-02
1034,cz,apo_heat,sym_control,4.87E-02
1067,el,apo_heat,sym_control,4.87E-02
1085,fh,apo_heat,sym_control,4.87E-02
1092,fp,apo_heat,sym_control,4.87E-02
1107,ge,apo_heat,sym_control,4.87E-02
1164,ji,apo_heat,sym_control,4.87E-02
1177,kg,apo_heat,sym_control,4.87E-02
1201,lm,apo_heat,sym_control,4.87E-02
1412,fo,apo_heat,sym_heat,4.87E-02
1503,ko,apo_heat,sym_heat,4.87E-02
1612,ah,sym_control,sym_heat,4.87E-02
1629,az,sym_control,sym_heat,4.87E-02
1646,bt,sym_control,sym_heat,4.87E-02
1713,ep,sym_control,sym_heat,4.87E-02
1727,fh,sym_control,sym_heat,4.87E-02
1748,gd,sym_control,sym_heat,4.87E-02
1808,jm,sym_control,sym_heat,4.87E-02
1819,kg,sym_control,sym_heat,4.87E-02
659,as,apo_control,sym_heat,4.97E-02
369,ca,apo_control,sym_control,5.11E-02
825,ie,apo_control,sym_heat,5.32E-02
326,af,apo_control,sym_control,5.34E-02
649,ah,apo_control,sym_heat,5.34E-02
666,az,apo_control,sym_heat,5.34E-02
764,fh,apo_control,sym_heat,5.34E-02
771,fp,apo_control,sym_heat,5.34E-02
856,kg,apo_control,sym_heat,5.34E-02
886,lz,apo_control,sym_heat,5.34E-02
1207,lz,apo_heat,sym_control,5.34E-02
1734,fp,sym_control,sym_heat,5.34E-02
1747,gc,sym_control,sym_heat,5.34E-02
1840,lj,sym_control,sym_heat,5.34E-02
1896,om,sym_control,sym_heat,5.34E-02
142,gc,apo_control,apo_heat,5.36E-02
145,gf,apo_control,apo_heat,5.36E-02
235,lj,apo_control,apo_heat,5.36E-02
294,os,apo_control,apo_heat,5.36E-02
508,il,apo_control,sym_control,5.36E-02
598,nr,apo_control,sym_control,5.36E-02
750,ep,apo_control,sym_heat,5.36E-02
785,gd,apo_control,sym_heat,5.36E-02
845,jm,apo_control,sym_heat,5.36E-02
969,ag,apo_heat,sym_control,5.36E-02
1611,ag,sym_control,sym_heat,5.49E-02
936,os,apo_control,sym_heat,5.66E-02
946,pf,apo_control,sym_heat,6.39E-02
2,ac,apo_control,apo_heat,6.76E-02
17,as,apo_control,apo_heat,6.76E-02
85,dp,apo_control,apo_heat,6.76E-02
139,fz,apo_control,apo_heat,6.76E-02
727,dp,apo_control,sym_heat,6.76E-02
791,gm,apo_control,sym_heat,6.76E-02
884,lu,apo_control,sym_heat,6.76E-02
933,om,apo_control,sym_heat,6.76E-02
966,ad,apo_heat,sym_control,6.76E-02
1102,fz,apo_heat,sym_control,6.76E-02
1899,os,sym_control,sym_heat,6.89E-02
694,cf,apo_control,sym_heat,6.95E-02
265,nd,apo_control,apo_heat,8.08E-02
781,fz,apo_control,sym_heat,8.08E-02
811,hm,apo_control,sym_heat,8.08E-02
862,kp,apo_control,sym_heat,8.08E-02
1074,es,apo_heat,sym_control,8.08E-02
1150,il,apo_heat,sym_control,8.08E-02
1233,nj,apo_heat,sym_control,8.08E-02
1744,fz,sym_control,sym_heat,8.08E-02
382,cp,apo_control,sym_control,8.14E-02
446,fl,apo_control,sym_control,8.14E-02
433,et,apo_control,sym_control,8.19E-02
449,fo,apo_control,sym_control,8.19E-02
540,ko,apo_control,sym_control,8.19E-02
1849,lz,sym_control,sym_heat,8.19E-02
1875,nj,sym_control,sym_heat,8.19E-02
1608,ad,sym_control,sym_heat,8.21E-02
1613,ai,sym_control,sym_heat,8.21E-02
1630,ba,sym_control,sym_heat,8.21E-02
698,ck,apo_control,sym_heat,8.87E-02
91,dv,apo_control,apo_heat,9.67E-02
169,hm,apo_control,apo_heat,9.67E-02
1716,es,sym_control,sym_heat,1.11E-01
968,af,apo_heat,sym_control,1.11E-01
711,cx,apo_control,sym_heat,1.24E-01
776,fu,apo_control,sym_heat,1.24E-01
866,kv,apo_control,sym_heat,1.24E-01
983,av,apo_heat,sym_control,1.24E-01
1007,bw,apo_heat,sym_control,1.24E-01
1024,cp,apo_heat,sym_control,1.24E-01
1088,fl,apo_heat,sym_control,1.24E-01
