sample_ID,treatment,status,tank,sym_host_ratio,Observed,Chao1,se.chao1,Shannon,Simpson,Fisher,oligo_cts
Sym-Ctrl-1-2,control_25C,symbiotic,1SC,0.32,423,423.0666667,0.294841071,4.194400013,0.948331671,71.48076852,1303
Sym-Ctrl-1-3,control_25C,symbiotic,1SC,0.26,394,399.3529412,3.970732704,3.716964135,0.918559194,65.63658925,1084
Sym-Ctrl-1-6,control_25C,symbiotic,1SC,0.44,403,407.6153846,3.330012781,3.696762434,0.921071423,67.439583,1244
Sym-Ctrl-2-1,control_25C,symbiotic,2SC,0.27,505,506.9565217,1.954888228,4.092083087,0.934212908,88.52766264,897
Sym-Ctrl-2-3,control_25C,symbiotic,2SC,0.37,258,258.375,0.826521025,3.302108042,0.898333499,39.65808561,463
Sym-Ctrl-3-1,control_25C,symbiotic,3SC,0.32,316,319.75,3.330152707,3.687492562,0.929523264,50.43369788,2248
Sym-Ctrl-3-2,control_25C,symbiotic,3SC,0.16,312,312.4285714,0.912946967,3.578739356,0.913522,49.67542577,551
Sym-Ctrl-3-5,control_25C,symbiotic,3SC,0.38,255,255,0.249509322,3.666640007,0.92800379,39.11401553,3650
Sym-HEAT-1-2,thermal_32C,symbiotic,1SH,0.11,238,238.25,0.736585949,3.582765766,0.920909621,36.05697215,133
Sym-HEAT-1-3,thermal_32C,symbiotic,1SH,0.14,207,207.25,0.73654433,3.353568733,0.90237754,30.60075336,234
Sym-HEAT-1-4,thermal_32C,symbiotic,1SH,0.22,289,292.4736842,2.910431048,3.464159511,0.908118559,45.3579958,255
Sym-HEAT-1-5,thermal_32C,symbiotic,1SH,0.33,252,253.2,1.840864554,3.547983876,0.914714503,38.571309,248
Sym-HEAT-1-6,thermal_32C,symbiotic,1SH,0.16,221,221.3,0.703884644,3.469244038,0.914800497,33.04535985,22
Sym-HEAT-2-1,thermal_32C,symbiotic,2SH,0.21,244,244.5,1.027181149,3.524105493,0.917751664,37.13082554,355
Sym-HEAT-2-2,thermal_32C,symbiotic,2SH,0.28,288,289.5,2.231979022,3.52991011,0.912512029,45.17195946,278
Sym-HEAT-2-6,thermal_32C,symbiotic,2SH,0.19,222,222,0,3.392023777,0.904337922,33.22121747,99
Sym-HEAT-3-2,thermal_32C,symbiotic,3SH,0.3,235,236.4285714,1.934802735,3.476742876,0.914923765,35.52210377,67
Sym-HEAT-3-5,thermal_32C,symbiotic,3SH,0.1,233,233,0.166308628,3.603185364,0.923671529,35.1663572,132
