taxon_id,x
ab,*Bacteria
ac,Actinobacteriota
ad,Proteobacteria
ae,Bacteroidota
af,Verrucomicrobiota
ag,Bdellovibrionota
ah,Firmicutes
ai,Myxococcota
aj,Spirochaetota
ak,Planctomycetota
al,Patescibacteria
am,Margulisbacteria
an,Dependentiae
ao,Cyanobacteria
ap,Desulfobacterota
ar,Fusobacteriota
as,Actinobacteria
at,Alphaproteobacteria
au,Rhodothermia
av,Chlamydiae
aw,Gammaproteobacteria
ax,Bdellovibrionia
ay,Bacteroidia
az,Bacilli
ba,Polyangia
bb,Leptospirae
bc,Planctomycetes
bd,Parcubacteria
bf,Acidimicrobiia
bg,Clostridia
bh,Phycisphaerae
bi,Thermoanaerobacteria
bk,Lentisphaeria
bl,Oligoflexia
bm,Babeliae
bn,Cyanobacteriia
bo,Pla3 lineage
bp,Desulfuromonadia
bq,Saccharimonadia
bs,Fusobacteriia
bt,Propionibacteriales
bu,Caulobacterales
bv,Balneolales
bw,Chlamydiales
bx,Oceanospirillales
by,Bdellovibrionales
bz,Alteromonadales
ca,Chitinophagales
cb,Lactobacillales
cc,Rhodobacterales
cd,Bacillales
cf,Blfdi19
cg,Leptospirales
ch,Bacteroidales
cj,Pirellulales
ck,Pseudomonadales
cl,Candidatus Kaiserbacteria
cm,Flavobacteriales
cn,Staphylococcales
co,Burkholderiales
cp,Nannocystales
cq,Sphingomonadales
cr,Cellvibrionales
cs,Rhizobiales
ct,Sneathiellales
cu,Bacteriovoracales
cv,Thermicanales
cw,Sphingobacteriales
cx,Haliangiales
cy,Vibrionales
cz,Corynebacteriales
da,Enterobacterales
dc,Microtrichales
dd,Peptostreptococcales-Tissierellales
de,Phycisphaerales
df,Gammaproteobacteria Incertae Sedis
dg,Thermoanaerobacterales
dh,Actinomycetales
di,Cytophagales
dj,Thioprofundaceae
dk,Candidatus Campbellbacteria
dm,Lentisphaerales
dn,Ga0077536
do,SS1-B-07-19
dp,Rhodospirillales
dq,Polyangiales
dr,053A03-B-DI-P58
ds,Babeliales
dt,Micrococcales
du,Arenicellales
dv,Oligoflexales
dw,Pasteurellales
dx,Nitrosococcales
dy,Rickettsiales
dz,Chloroplast
ea,Salinisphaerales
ec,Frankiales
ee,Xanthomonadales
ef,Bradymonadales
eg,Saccharimonadales
ei,Fusobacteriales
ej,UBA4486
ek,Parvibaculales
el,Propionibacteriaceae
em,Hyphomonadaceae
en,Balneolaceae
eo,Chlamydiaceae
ep,Halomonadaceae
eq,Endozoicomonadaceae
er,Bdellovibrionaceae
es,Alteromonadaceae
et,Saprospiraceae
eu,Leuconostocaceae
ev,Rhodobacteraceae
ew,Bacillaceae
ez,Leptospiraceae
fa,Porphyromonadaceae
fc,Pirellulaceae
fd,Moraxellaceae
ff,Cryomorphaceae
fg,Simkaniaceae
fh,Staphylococcaceae
fi,Pseudoalteromonadaceae
fj,Hydrogenophilaceae
fl,Nannocystaceae
fm,Sphingomonadaceae
fn,Cellvibrionaceae
fo,Stappiaceae
fp,Streptococcaceae
fq,Sneathiellaceae
fr,Bacteriovoracaceae
fs,Thermicanaceae
ft,NS11-12 marine group
fu,Haliangiaceae
fv,Lactobacillaceae
fw,Vibrionaceae
fx,Marinobacteraceae
fy,Nocardioidaceae
fz,Corynebacteriaceae
ga,Enterobacteriaceae
gb,Xanthobacteraceae
gc,Mycobacteriaceae
gd,Carnobacteriaceae
ge,Oleiphilaceae
gf,Saccharospirillaceae
gi,Microtrichaceae
gj,Anaerococcus
gk,Porticoccaceae
gm,Pseudomonadaceae
gn,Finegoldia
gp,Phycisphaeraceae
gq,Halieaceae
gr,Unknown Family
gs,Aerococcaceae
gt,Devosiaceae
gu,Rhizobiaceae
gv,Prevotellaceae
gw,Family III
gx,Actinomycetaceae
gy,Cyclobacteriaceae
gz,Thioprofundum
hc,Amoebophilaceae
hd,Kangiellaceae
hf,Spongiibacteraceae
hg,Oxalobacteraceae
hh,Lentisphaeraceae
hi,Pseudohongiellaceae
hk,Erwiniaceae
hm,Terasakiellaceae
hn,Methylophilaceae
ho,Sandaracinaceae
hp,Burkholderiaceae
hr,Comamonadaceae
ht,Colwelliaceae
hu,Micrococcaceae
hv,Arenicellaceae
hw,P13-46
hy,NS9 marine group
hz,Sphingobacteriaceae
ia,Pasteurellaceae
ic,Methylophagaceae
id,Neisseriaceae
ie,Mitochondria
ig,Alcanivoracaceae1
ih,Yersiniaceae
ii,Solimonadaceae
il,Parachlamydiaceae
im,Geodermatophilaceae
in,Crocinitomicaceae
iq,Hafniaceae
ir,Beijerinckiaceae
is,Xanthomonadaceae
it,Microbacteriaceae
iu,Gemellaceae
iv,Flammeovirgaceae
iy,Salinisphaeraceae
iz,Saccharimonadaceae
jc,Fusobacteriaceae
jd,Weeksellaceae
jg,Parvibaculaceae
ji,Cutibacterium
jk,Balneola
jm,Halomonas
jn,Endozoicomonas
jo,OM27 clade
jp,Aestuariibacter
js,Leuconostoc
jt,Thalassobius
ju,Anoxybacillus
jy,Porphyromonas
ka,Rhodopirellula
kb,Hirschia
kc,Acinetobacter
kg,Staphylococcus
ki,Pseudoalteromonas
kj,Tepidiphilus
km,Sphingomonas
kn,Aestuariicella
ko,Labrenzia
kp,Lactococcus
kq,Sneathiella
ks,Thermicanus
ku,Cognatishimia
kv,Haliangium
kw,Alteromonas
kx,Lactobacillus
ky,Vibrio
kz,Marinobacter
lb,Nocardioides
ld,Corynebacterium
le,Simkania
lg,Bradyrhizobium
lh,Bacillus
li,Vicingus
lj,Mycobacterium
lk,Bdellovibrio
ll,Alloiococcus
lm,Oleiphilus
ln,Bermanella
lq,Sva0996 marine group
ls,Porticoccus
lu,Pseudomonas
lx,SM1A02
lz,Streptococcus
ma,Marinicella
mc,Abiotrophia
md,Lawsonella
me,Maritalea
mf,Cohaesibacter
mg,Alloprevotella
mh,Thermoanaerobacterium
mi,Actinomyces
mj,Ekhidna
mo,Aliikangiella
mq,Reichenbachiella
mr,Litorivivens
ms,Pleionea
mt,Turneriella
mu,Mesorhizobium
mv,Massilia
mw,Lentisphaera
my,Pseudohongiella
na,Geobacillus
nb,Tatumella
nd,Aestuariispira
ne,OM43 clade
nf,Sandaracinus
ng,Ralstonia
ni,Roseateles
nj,Turicella
nl,Spongiibacter
nm,Cellvibrio
nn,Thalassotalea
no,Micrococcus
np,Rheinheimera
nq,HTCC5015
nr,Methylotenera
ns,Pelagibaca
nw,Sphingobacterium
nx,Haemophilus
nz,Maricaulis
oa,Hyphobacterium
ob,Methylophaga
of,Rothia
og,Alcanivorax
oh,Shimia
oi,Acidovorax
oj,Serratia
ok,Peredibacter
ol,Polycyclovorans
om,Granulicatella
op,Oceanococcus
or,Blastococcus
os,Oceaniserpentilla
ot,Crocinitomix
ov,Erythrobacter
oy,Hafnia-Obesumbacterium
oz,Bosea
pa,Pseudoxanthomonas
pb,Microbacterium
